Zip Codes,Delivery Route,Delivery Day
45005,Center Dayton,Wednesday
45066,Center Dayton,Wednesday
45068,Center Dayton,Wednesday
45305,Center Dayton,Wednesday
45309,US35 / I675 Loop,Thursday
45314,Center Dayton,Wednesday
45315,US35 / I675 Loop,Thursday
45322,US35 / I675 Loop,Thursday
45323,Center Dayton,Wednesday
45324,Germantown,Thursday
45325,Germantown,Thursday
45327,Germantown,Thursday
45342,Germantown,Thursday
45345,Germantown,Thursday
45370,Germantown,Thursday
45385,Germantown,Thursday
45387,Germantown,Thursday
45402,Germantown,Thursday
45403,Germantown,Thursday
45404,US35 / I675 Loop,Thursday
45405,US35 / I675 Loop,Thursday
45406,US35 / I675 Loop,Thursday
45409,US35 / I675 Loop,Thursday
45410,US35 / I675 Loop,Thursday
45414,US35 / I675 Loop,Thursday
45415,US35 / I675 Loop,Thursday
45416,Yellow Springs,Thursday
45417,Germantown,Thursday
45419,Yellow Springs,Thursday
45420,Yellow Springs,Thursday
45424,Yellow Springs,Thursday
45426,Yellow Springs,Thursday
45429,Yellow Springs,Thursday
45430,North Dayton,Wednesday
45431,North Dayton,Wednesday
45432,North Dayton,Wednesday
45433,North Dayton,Wednesday
45434,North Dayton,Wednesday
45439,North Dayton,Wednesday
45440,North Dayton,Wednesday
45449,North Dayton,Wednesday
45458,North Dayton,Wednesday
45459,North Dayton,Wednesday
45469,Yellow Springs,Thursday
45502,North Dayton,Wednesday
